date,portfolio_market_value,period_profit,cumulative_ttwror,daily_ttwror
2024-12-30,0,0,0,0
2024-12-31,0,0,0,0
2025-01-01,0,0,0,0
2025-01-02,10000,0,0,0
2025-01-03,10000,0,0,0
2025-01-04,10000,0,0,0
2025-01-05,10000,0,0,0
2025-01-06,10000,0,0,0
2025-01-07,10000,0,0,0
2025-01-08,10000,0,0,0
2025-01-09,10000,0,0,0
2025-01-10,10000,0,0,0
2025-01-11,10000,0,0,0
2025-01-12,10000,0,0,0
2025-01-13,10000,0,0,0
2025-01-14,10000,0,0,0
2025-01-15,10000,0,0,0
2025-01-16,10000,0,0,0
2025-01-17,10000,0,0,0
2025-01-18,10000,0,0,0
2025-01-19,10000,0,0,0
2025-01-20,10000,0,0,0
2025-01-21,10000,0,0,0
2025-01-22,10000,0,0,0
2025-01-23,10000,0,0,0
2025-01-24,10000,0,0,0
2025-01-25,10000,0,0,0
2025-01-26,10000,0,0,0
2025-01-27,10000,0,0,0
2025-01-28,10000,0,0,0
2025-01-29,10000,0,0,0
2025-01-30,10000,0,0,0
2025-01-31,10000,0,0,0
2025-02-01,10000,0,0,0
2025-02-02,10000,0,0,0
2025-02-03,10100,100,0.010000000000000009,0.010000000000000009
2025-02-04,10100,100,0.010000000000000009,0
2025-02-05,10100,100,0.010000000000000009,0
2025-02-06,10100,100,0.010000000000000009,0
2025-02-07,10100,100,0.010000000000000009,0
2025-02-08,10100,100,0.010000000000000009,0
2025-02-09,10100,100,0.010000000000000009,0
2025-02-10,10100,100,0.010000000000000009,0
2025-02-11,10100,100,0.010000000000000009,0
2025-02-12,10100,100,0.010000000000000009,0
2025-02-13,10100,100,0.010000000000000009,0
2025-02-14,10100,100,0.010000000000000009,0
2025-02-15,10100,100,0.010000000000000009,0
2025-02-16,10100,100,0.010000000000000009,0
2025-02-17,10100,100,0.010000000000000009,0
2025-02-18,10100,100,0.010000000000000009,0
2025-02-19,10100,100,0.010000000000000009,0
2025-02-20,10100,100,0.010000000000000009,0
2025-02-21,10100,100,0.010000000000000009,0
2025-02-22,10100,100,0.010000000000000009,0
2025-02-23,10100,100,0.010000000000000009,0
2025-02-24,10100,100,0.010000000000000009,0
2025-02-25,10100,100,0.010000000000000009,0
2025-02-26,10100,100,0.010000000000000009,0
2025-02-27,10100,100,0.010000000000000009,0
2025-02-28,10100,100,0.010000000000000009,0
2025-03-01,10100,100,0.010000000000000009,0
2025-03-02,10100,100,0.010000000000000009,0
2025-03-03,10200,200,0.020000000000000018,0.00990099009900991
